Date,Close,High,Low,Open,Volume
2021-05-12,2714.23828125,2742.720290729441,2699.2939719735896,2742.720290729441,1978558
2021-05-14,2682.50341796875,2723.8200362366615,2672.3940326478782,2723.8200362366615,2043935
2021-05-17,2698.54638671875,2703.337313029576,2668.8775405417787,2685.580002093259,2890462
2021-05-18,2715.293212890625,2746.2366818753967,2705.79913790412,2725.1388328469043,2098538
2021-05-19,2709.315185546875,2740.9619560464494,2696.217024715244,2711.073339463518,1986041
2021-05-20,2689.97509765625,2715.292553263747,2683.030476552131,2696.2166289916227,2329027
2021-05-21,2707.997314453125,2714.7661659690666,2685.668839421719,2690.8553090540545,1685566
2021-05-24,2708.875732421875,2729.5340415933547,2700.5245010546814,2708.875732421875,1652260
2021-05-25,2750.8359375,2763.4240595646675,2722.656297882168,2731.401643786127,1841613
2021-05-26,2790.145751953125,2795.8877014189143,2741.825081890041,2756.1357435788345,1923753
2021-05-27,2809.138916015625,2842.4863984305903,2793.061497428676,2793.193917714031,5959785
2021-05-28,2776.984375,2825.0400036159776,2769.9613544264,2817.531298165466,1763701
2021-05-31,2790.720458984375,2800.6144542582383,2763.7334632434854,2782.637645424478,1652799
2021-06-01,2785.28759765625,2800.260794224567,2766.7366812113464,2799.068364711175,1377441
2021-06-02,2764.484375,2790.9856875450187,2751.719619257796,2783.388774016387,2240078
2021-06-03,2774.907958984375,2786.656916039065,2758.477060767355,2786.656916039065,1281706
2021-06-04,2777.116455078125,2788.6887800926147,2760.5531362605616,2763.2032672713717,1836060
2021-06-07,2811.96533203125,2818.369814617938,2768.149966770133,2778.220377259856,2559821
2021-06-08,2826.93896484375,2854.191232954633,2815.499275242402,2825.039790463917,2574057
2021-06-09,2827.027587890625,2844.4742857613664,2814.616096398298,2828.5734978285386,1710925
2021-06-10,2841.647216796875,2848.0074881529035,2820.622800766818,2835.6402099785423,1874324
2021-06-11,2892.000244140625,2923.095077626024,2836.524114311623,2837.010014892447,3452954
2021-06-14,2894.25244140625,2922.8295591519113,2888.952179184316,2896.593304286982,1847360
2021-06-15,2882.238525390625,2913.377567002768,2872.3447453737463,2913.377567002768,1304985
2021-06-16,2892.4853515625,2910.4619427775083,2873.6251677448518,2881.6639841155666,1635552
2021-06-17,2930.82421875,2946.9900619599393,2879.8091939190717,2884.6677677124935,2273413
2021-06-18,2912.7587890625,2966.379725481186,2893.0594404261124,2960.1076630224497,3380431
2021-06-21,2891.38134765625,2902.7768246995624,2872.4769504377414,2884.22590768231,1130569
2021-06-22,2916.20361328125,2939.0389911147163,2901.8929514488364,2918.6771115942024,1708688
2021-06-23,2881.04541015625,2940.7617764131733,2876.6285255416315,2940.7617764131733,1467104
2021-06-24,2980.1611328125,2988.464791457915,2896.151882587873,2901.010456738928,4155204
2021-06-25,2986.520751953125,3003.1722775928047,2959.3126995223847,2981.6179668844566,2722861
2021-06-28,2947.6083984375,2995.9732923655597,2944.2957344698248,2995.9732923655597,1355238
2021-06-29,2951.230224609375,2973.7121267952775,2938.553678014563,2952.2460219223417,1497322
2021-06-30,2955.55859375,2987.5810099566615,2949.1541105086676,2955.7794379997013,1693146
2021-07-01,2951.80419921875,2969.913427434816,2943.7213860627653,2966.3799194902176,990310
2021-07-02,2937.626220703125,2950.21434389237,2910.9040644592897,2942.529006552582,1682274
2021-07-05,2933.695068359375,2980.5140501790215,2916.9109050655393,2952.2459856841406,1972858
2021-07-06,2881.8408203125,2939.878645879054,2876.3639260649975,2926.6279909246714,2159420
2021-07-07,2893.015625,2899.8617971333256,2863.555129801397,2893.0598369861177,2640710
2021-07-08,2878.484130859375,2913.3775244972285,2854.986214952416,2913.3775244972285,2485811
2021-07-09,2834.006103515625,2899.2435873844856,2827.6900436373367,2870.9755207189455,6365067
2021-07-12,2820.7109375,2858.6077212079454,2816.5148971181284,2857.724344285446,1892226
2021-07-13,2815.808349609375,2839.173627711881,2804.721925322098,2839.173627711881,1809339
2021-07-14,2839.659423828125,2846.2405389860573,2813.5555917661677,2815.3223456699457,2044279
2021-07-15,2835.5869140625,2861.172351997801,2827.663479475212,2857.409806666627,2232968
2021-07-16,2828.3720703125,2850.5490007565263,2825.893173423825,2844.4845758805604,1256526
2021-07-19,2819.341796875,2832.7983868188567,2811.728089019713,2815.2693082754054,1597058
2021-07-20,2838.1103515625,2846.255113012707,2794.15483576375,2819.3419318366623,1811945
2021-07-22,2847.4501953125,2855.0636869502946,2824.122327250977,2824.122327250977,2859334
2021-07-23,2844.352294921875,2869.760505544406,2838.8632309350623,2859.535189425642,1776193
2021-07-26,2830.806640625,2854.444237512469,2824.8751412021347,2832.9755943366367,1259611
2021-07-27,2817.880859375,2841.828397353054,2798.581171579533,2832.9753493862218,1121367
2021-07-28,2831.02734375,2836.9145334056893,2773.1282881006728,2822.3513146741125,1660654
2021-07-29,2829.25732421875,2855.5065269494357,2824.388147472567,2833.1968876310666,1731997
2021-07-30,2804.158935546875,2853.7803179466428,2799.644010283248,2849.7964459346185,2999943
2021-08-02,2850.150146484375,2855.019322815732,2803.760262073905,2815.2692243116567,2608669
2021-08-03,2908.1376953125,2912.652836316746,2849.751886091919,2858.6492426950676,3804735
2021-08-04,2898.443359375,2926.109132013964,2887.1557241383025,2921.50559067461,2929598
2021-08-05,2907.296875,2934.7856343504254,2888.307128829039,2899.373439667464,2534521
2021-08-06,2930.182373046875,2942.753660136162,2890.520667973697,2897.2047635883696,2292362
2021-08-09,2941.602294921875,2954.26219713046,2930.3589668869713,2942.6646174826997,1510489
2021-08-10,2951.517822265625,2965.6827001982383,2935.3169160413063,2935.3169160413063,2040777
2021-08-11,2960.63623046875,2974.6240893547983,2945.4976482687453,2965.771041469814,1929707
2021-08-12,2967.320556640625,2981.706760577497,2944.5239565560437,2944.5239565560437,1310205
2021-08-13,3066.1650390625,3080.861187504432,2972.4113324845202,2975.2885735360687,4363584
2021-08-16,3074.619384765625,3093.5650379258386,3042.3500667442145,3063.1547303753764,2083489
2021-08-17,3145.5322265625,3152.39333868331,3065.8104870148636,3082.7198949552444,4336019
2021-08-18,3152.172119140625,3182.670826952774,3130.96911193571,3163.9467164708954,2631309
2021-08-20,3151.2421875,3164.9644108196376,3098.5665560471975,3103.878384428993,2836148
2021-08-23,3220.208251953125,3251.725195737372,3153.367725876846,3169.3918324910946,3744176
2021-08-24,3198.783203125,3246.722586873967,3182.1394299538442,3237.5595959017187,2511141
2021-08-25,3239.331298828125,3273.6368707957636,3193.3397429922006,3195.9513497593694,2123263
2021-08-26,3250.706787109375,3264.6503388708297,3229.503562472118,3240.2158378999643,1902533
2021-08-27,3293.46728515625,3301.744973301148,3232.337148265412,3245.5281062131676,3944728
2021-08-30,3276.77880859375,3311.3500054128417,3264.650175657606,3288.907441529894,2033114
2021-08-31,3352.162841796875,3367.7886036477303,3278.682531887317,3283.9500530446194,3207480
2021-09-01,3288.86328125,3378.943051708718,3281.8251507662603,3360.6172841404705,2643336
2021-09-02,3396.693115234375,3416.523855854154,3295.104391712346,3305.728049074127,3403717
2021-09-03,3401.3857421875,3414.532390299756,3368.186808360249,3386.2912503795983,1746812
2021-09-06,3410.19384765625,3432.8577353838573,3376.5522676430264,3408.1576035329426,1723693
2021-09-07,3378.234375,3426.0851408991393,3371.461879985868,3420.817620761608,1585039
2021-09-08,3341.273193359375,3377.4379827229823,3325.2049968827055,3373.0114584992302,4147175
2021-09-09,3356.54443359375,3371.860249411292,3333.172474016351,3355.0394587057644,1441148
2021-09-13,3404.30712890625,3410.5483552564024,3334.94340668906,3334.94340668906,1691473
2021-09-14,3440.206298828125,3449.590617426561,3386.291315708096,3408.379630212844,1991188
2021-09-15,3500.982421875,3523.5133876208283,3422.588632297016,3436.84212717988,2461369
2021-09-16,3455.6103515625,3525.062471552736,3445.694980793567,3479.2479470590197,2946666
2021-09-17,3388.814453125,3492.5278358637233,3368.585149673376,3470.3952133297325,6477148
2021-09-20,3384.96337890625,3427.015362821,3371.1084432930547,3372.126457500695,2002008
2021-09-21,3419.88818359375,3427.5018914398584,3383.325051595029,3415.5059679978876,1568129
2021-09-22,3419.18017578125,3449.9004282075575,3410.592761622935,3419.4901189466127,1744067
2021-09-23,3425.465576171875,3434.0972979183825,3395.143886959783,3426.12955476776,2003869
2021-09-24,3427.280517578125,3491.9961688146536,3412.850006101466,3443.8356741205457,2320754
2021-09-27,3396.870361328125,3456.230094055496,3366.7256883097275,3452.6888746968325,1673362
2021-09-28,3345.699462890625,3408.4233928218655,3320.999546057928,3408.4233928218655,2253075
2021-09-29,3356.986572265625,3369.46945412398,3295.2365737303785,3328.5684230531306,2489161
2021-09-30,3342.512451171875,3368.584633292451,3319.981488113893,3368.584633292451,2252412
2021-10-01,3302.3642578125,3373.011631270028,3297.760715611773,3348.0017681247846,1578374
2021-10-04,3340.521240234375,3349.684016863548,3282.2238223122226,3297.583949784419,1356860
2021-10-05,3393.638671875,3399.570170350706,3312.4562711910094,3323.4339634105604,1877966
2021-10-06,3373.808349609375,3415.0193358424335,3359.732088185577,3396.029589006554,1678154
2021-10-07,3446.403076171875,3451.80352207463,3381.908749178324,3390.7174889832863,1647233
2021-10-08,3484.249755859375,3532.2775413447675,3452.688726138807,3474.8213461781584,2934339
2021-10-11,3262.87939453125,3326.532721970496,3240.2155056319402,3324.3194600130973,11845402
